,uid,Visibility,Wind speed (gust),Surface pressure,Orography,Temperature,Plant canopy surface water,Water equivalent of accumulated snow depth (deprecated),Snow cover,Snow depth,Percent frozen precipitation,Precipitation rate,Categorical snow,Categorical ice pellets,Categorical freezing rain,Categorical rain,Forecast surface roughness,Frictional velocity,Instantaneous surface sensible heat flux,Latent heat net flux,Ground heat flux,Vegetation Type,Convective available potential energy,Convective inhibition,Downward short-wave radiation flux,Downward long-wave radiation flux,Upward short-wave radiation flux,Upward long-wave radiation flux,Visible Beam Downward Solar Flux,Visible Diffuse Downward Solar Flux,Boundary layer height,Land-sea mask,Sea ice area fraction,Vegetation,unknown,Leaf Area Index,Cloud Forcing Net Solar Flux,Lightning
15,umiq,16000.0,9.18864631652832,96780.0,358.0577392578125,295.1056823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.13109999895095825,0.44999998807907104,-22.0,60.0,42.0,10.0,420.0,-178.0,0.0,419.5,0.0,395.74200439453125,0.0,0.0,394.787353515625,1.0,0.0,,,,,
16,fcah,17800.0,5.217297554016113,99330.0,188.90150451660156,298.2973937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.4357999861240387,0.23999999463558197,-20.0,30.0,30.0,12.0,1540.0,-80.0,0.0,435.6000061035156,0.0,448.83917236328125,0.0,0.0,404.0177307128906,1.0,0.0,,,,,
17,umne,24500.0,3.5636465549468994,99710.0,193.46400451660156,291.3556823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.24169999361038208,0.05999999865889549,-5.0,10.0,32.0,14.0,0.0,0.0,0.0,373.5,0.0,375.74200439453125,0.0,0.0,342.037353515625,1.0,0.0,,,,,
18,aabn,23500.0,9.940825462341309,100870.0,35.27650451660156,296.57177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.12099999934434891,0.6899999976158142,44.0,3.0,58.0,7.0,0.0,0.0,59.400001525878906,346.20001220703125,8.125,438.5621643066406,249.0,33.900001525878906,406.2342529296875,1.0,0.0,,,,,
19,gnog,34300.0,3.5922975540161133,99960.0,96.02650451660156,297.3598937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.3133000135421753,0.2199999988079071,-19.0,60.0,30.0,12.0,40.0,-30.0,118.19999694824219,345.8999938964844,20.25,443.46417236328125,395.0,51.29999923706055,2077.767822265625,1.0,0.0,,,,,
20,vqso,23900.0,6.6261467933654785,98940.0,230.40150451660156,292.1681823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.5310999751091003,0.3700000047683716,-26.0,0.0,44.0,14.0,0.0,0.0,0.0,338.1000061035156,0.0,380.11700439453125,0.0,0.0,387.474853515625,1.0,0.0,,,,,
21,agtu,14200.0,8.503325462341309,100300.0,106.68275451660156,297.82177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.31470000743865967,0.15000000596046448,-12.0,10.0,44.0,12.0,860.0,-47.0,0.0,397.6000061035156,0.0,446.1871643066406,0.0,0.0,158.2967529296875,1.0,0.0,,,,,
22,gzpf,18800.0,3.7172975540161133,99800.0,151.90150451660156,297.6723937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.5479000210762024,0.07000000029802322,-6.0,0.0,40.0,4.0,1480.0,-50.0,0.0,395.0,0.0,445.21417236328125,0.0,0.0,408.1427307128906,1.0,0.0,,,,,
23,ywmf,23500.0,8.12614631652832,101680.0,60.46400451660156,290.4181823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6385999917984009,0.3499999940395355,-16.0,0.0,60.0,4.0,0.0,0.0,0.0,322.29998779296875,0.0,375.11700439453125,0.0,0.0,543.849853515625,1.0,0.0,,,,,
24,aozi,17000.0,9.190825462341309,100610.0,75.12025451660156,299.25927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.23999999463558197,-14.0,4.0,40.0,5.0,250.0,-53.0,0.0,396.0,0.0,454.9371643066406,0.0,0.0,420.2342529296875,1.0,0.0,,,,,
25,jubw,12100.0,3.3422975540161133,98580.0,246.65150451660156,296.4223937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,1.0,0.15070000290870667,0.23000000417232513,-16.0,30.0,50.0,12.0,2020.0,-60.0,0.0,391.0,0.0,437.58917236328125,0.0,0.0,57.767730712890625,1.0,0.0,,,,,
26,zlbd,15200.0,4.2511467933654785,97500.0,299.6202392578125,295.1056823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.10220000147819519,0.05000000074505806,-2.0,0.0,34.0,10.0,510.0,-68.0,0.0,389.8999938964844,0.0,395.49200439453125,0.0,0.0,521.912353515625,1.0,0.0,,,,,
27,atvc,17000.0,9.190825462341309,100610.0,75.12025451660156,299.25927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.23999999463558197,-14.0,4.0,40.0,5.0,250.0,-53.0,0.0,396.0,0.0,454.9371643066406,0.0,0.0,420.2342529296875,1.0,0.0,,,,,
28,khik,17800.0,2.4672975540161133,98540.0,248.02650451660156,297.8598937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6428999900817871,0.05999999865889549,-4.0,10.0,50.0,12.0,1610.0,-70.0,0.0,398.5,0.0,446.33917236328125,0.0,0.0,865.4552001953125,1.0,0.0,,,,,
29,ayhg,16200.0,4.878325462341309,100010.0,128.96400451660156,298.57177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.1899999976158142,-13.0,1.0,42.0,4.0,350.0,-35.0,0.0,391.70001220703125,0.0,450.4371643066406,0.0,0.0,400.9217529296875,1.0,0.0,,,,,
30,odwq,17700.0,2.0297975540161133,98800.0,218.37025451660156,298.6723937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.34060001373291016,0.009999999776482582,0.0,0.0,40.0,12.0,2080.0,-40.0,0.0,394.8999938964844,0.0,451.21417236328125,0.0,0.0,727.5802001953125,1.0,0.0,,,,,
31,beqd,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
32,otoh,21900.0,2.4672975540161133,99620.0,157.02650451660156,287.4848937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,0.03999999910593033,-12.0,0.0,0.0,17.0,840.0,-110.0,0.0,388.70001220703125,0.0,387.21417236328125,0.0,0.0,397.5802307128906,0.0,0.0,,,,,
33,bhhr,14200.0,8.503325462341309,100300.0,106.68275451660156,297.82177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.31470000743865967,0.15000000596046448,-12.0,10.0,44.0,12.0,860.0,-47.0,0.0,397.6000061035156,0.0,446.1871643066406,0.0,0.0,158.2967529296875,1.0,0.0,,,,,
34,qugw,18900.0,4.654797554016113,99550.0,167.12025451660156,297.3598937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.59170001745224,0.25,-33.0,30.0,50.0,4.0,1150.0,-150.0,0.0,391.0,0.0,443.33917236328125,0.0,0.0,86.70523071289062,1.0,0.0,,,,,
35,bljj,13100.0,9.190825462341309,100230.0,112.58900451660156,297.50927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.18979999423027039,0.20000000298023224,-18.0,12.0,43.0,12.0,1040.0,-42.0,0.0,395.79998779296875,0.0,444.1871643066406,0.0,0.0,155.1717529296875,1.0,0.0,,,,,
36,regx,46000.0,4.529797554016113,100340.0,63.05775451660156,301.1098937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0851999968290329,0.3700000047683716,27.0,10.0,30.0,12.0,0.0,0.0,121.4000015258789,346.8999938964844,21.25,466.21417236328125,403.0,52.099998474121094,2286.955322265625,1.0,0.0,,,,,
37,bpsk,12800.0,9.253325462341309,100470.0,91.05775451660156,297.63427734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.19529999792575836,0.20000000298023224,-16.0,14.0,45.0,12.0,970.0,-48.0,0.0,396.6000061035156,0.0,444.9371643066406,0.0,0.0,160.4842529296875,1.0,0.0,,,,,
38,ztfw,11900.0,1.9047975540161133,98500.0,251.37025451660156,287.1723937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,1.0,9.999999747378752e-05,0.029999999329447746,-7.0,-10.0,0.0,17.0,1770.0,-70.0,0.0,379.6000061035156,0.0,385.46417236328125,0.0,0.0,106.33023071289062,0.0,0.0,,,,,
39,byuf,23100.0,8.065825462341309,101030.0,24.307754516601562,295.82177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.13940000534057617,0.5400000214576721,33.0,4.0,53.0,7.0,0.0,0.0,59.70000076293945,344.3999938964844,8.0,434.1871643066406,249.0,34.0,395.7967529296875,1.0,0.0,,,,,
40,cdjo,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
41,cngp,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
42,cwrx,16500.0,9.190825462341309,100680.0,68.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.4787999987602234,0.3199999928474426,-25.0,6.0,35.0,5.0,250.0,-123.0,0.0,396.5,0.0,453.1871643066406,0.0,0.0,425.7342529296875,1.0,0.0,,,,,
43,dfdb,13100.0,9.190825462341309,100230.0,112.58900451660156,297.50927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.18979999423027039,0.20000000298023224,-18.0,12.0,43.0,12.0,1040.0,-42.0,0.0,395.79998779296875,0.0,444.1871643066406,0.0,0.0,155.1717529296875,1.0,0.0,,,,,
44,dmoo,12800.0,9.253325462341309,100470.0,91.05775451660156,297.63427734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.19529999792575836,0.20000000298023224,-16.0,14.0,45.0,12.0,970.0,-48.0,0.0,396.6000061035156,0.0,444.9371643066406,0.0,0.0,160.4842529296875,1.0,0.0,,,,,
45,dpdx,17000.0,9.190825462341309,100610.0,75.12025451660156,299.25927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.23999999463558197,-14.0,4.0,40.0,5.0,250.0,-53.0,0.0,396.0,0.0,454.9371643066406,0.0,0.0,420.2342529296875,1.0,0.0,,,,,
46,eacq,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
47,eayf,16500.0,9.190825462341309,100680.0,68.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.4787999987602234,0.3199999928474426,-25.0,6.0,35.0,5.0,250.0,-123.0,0.0,396.5,0.0,453.1871643066406,0.0,0.0,425.7342529296875,1.0,0.0,,,,,
48,eelz,17000.0,9.190825462341309,100610.0,75.12025451660156,299.25927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.23999999463558197,-14.0,4.0,40.0,5.0,250.0,-53.0,0.0,396.0,0.0,454.9371643066406,0.0,0.0,420.2342529296875,1.0,0.0,,,,,
49,efeb,16200.0,4.878325462341309,100010.0,128.96400451660156,298.57177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.1899999976158142,-13.0,1.0,42.0,4.0,350.0,-35.0,0.0,391.70001220703125,0.0,450.4371643066406,0.0,0.0,400.9217529296875,1.0,0.0,,,,,
50,egmr,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
51,eiez,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
52,elqe,12800.0,9.253325462341309,100470.0,91.05775451660156,297.63427734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.19529999792575836,0.20000000298023224,-16.0,14.0,45.0,12.0,970.0,-48.0,0.0,396.6000061035156,0.0,444.9371643066406,0.0,0.0,160.4842529296875,1.0,0.0,,,,,
53,eowb,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
54,fouq,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
55,aacd,18900.0,3.995835542678833,102470.0,90.99525451660156,274.84112548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.2606000006198883,0.09000000357627869,-5.0,3.0,75.0,8.0,0.0,0.0,0.0,237.60000610351562,0.0,300.79693603515625,0.0,0.0,30.663257598876953,1.0,0.0,,,,,
56,fqzf,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
57,bqfi,20500.0,1.9333356618881226,102080.0,121.99525451660156,274.09112548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.7324000000953674,0.029999999329447746,-3.0,0.0,71.0,5.0,0.0,0.0,0.0,239.5,0.0,300.79693603515625,0.0,0.0,37.53825759887695,1.0,0.0,,,,,
58,aaqq,26100.0,3.613386631011963,100400.0,144.62025451660156,289.1217041015625,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.08460000157356262,0.14000000059604645,-13.0,2.0,62.0,12.0,0.0,0.0,0.0,303.79998779296875,0.0,396.07086181640625,0.0,0.0,363.0339660644531,1.0,0.0,,,,,
59,fxok,14200.0,8.503325462341309,100300.0,106.68275451660156,297.82177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.31470000743865967,0.15000000596046448,-12.0,10.0,44.0,12.0,860.0,-47.0,0.0,397.6000061035156,0.0,446.1871643066406,0.0,0.0,158.2967529296875,1.0,0.0,,,,,
60,brxn,18900.0,3.995835542678833,102470.0,90.99525451660156,274.84112548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.2606000006198883,0.09000000357627869,-5.0,3.0,75.0,8.0,0.0,0.0,0.0,237.60000610351562,0.0,300.79693603515625,0.0,0.0,30.663257598876953,1.0,0.0,,,,,
61,gjtq,14200.0,8.503325462341309,100300.0,106.68275451660156,297.82177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.31470000743865967,0.15000000596046448,-12.0,10.0,44.0,12.0,860.0,-47.0,0.0,397.6000061035156,0.0,446.1871643066406,0.0,0.0,158.2967529296875,1.0,0.0,,,,,
62,djlr,19200.0,2.495835542678833,101610.0,24.120254516601562,287.65362548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.10040000081062317,0.05999999865889549,-5.0,1.0,53.0,10.0,260.0,-5.0,0.0,320.79998779296875,0.0,357.04693603515625,0.0,0.0,1176.0382080078125,1.0,0.0,,,,,
63,grwe,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
64,edez,20500.0,1.9333356618881226,102080.0,121.99525451660156,274.09112548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.7324000000953674,0.029999999329447746,-3.0,0.0,71.0,5.0,0.0,0.0,0.0,239.5,0.0,300.79693603515625,0.0,0.0,37.53825759887695,1.0,0.0,,,,,
65,aafp,13600.0,3.308027982711792,100990.0,121.68275451660156,280.1517333984375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.5864999890327454,0.15000000596046448,-6.0,11.0,20.0,4.0,0.0,0.0,0.0,334.20001220703125,0.0,349.18695068359375,0.0,0.0,904.644775390625,1.0,0.0,,,,,
66,gwwq,16500.0,9.190825462341309,100680.0,68.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.4787999987602234,0.3199999928474426,-25.0,6.0,35.0,5.0,250.0,-123.0,0.0,396.5,0.0,453.1871643066406,0.0,0.0,425.7342529296875,1.0,0.0,,,,,
67,egiy,22700.0,1.1833356618881226,102570.0,83.24525451660156,274.71612548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.5562999844551086,0.029999999329447746,-2.0,0.0,75.0,5.0,0.0,0.0,0.0,237.8000030517578,0.0,303.67193603515625,0.0,0.0,42.10075759887695,1.0,0.0,,,,,
68,anfv,20400.0,6.308028221130371,101650.0,68.05775451660156,291.5267333984375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,0.25999999046325684,87.0,231.0,0.0,17.0,0.0,-1.0,0.0,339.70001220703125,0.0,409.68695068359375,0.0,0.0,1066.207275390625,0.0,0.0,,,,,
69,hvzj,16800.0,4.815825462341309,100080.0,121.99525451660156,299.00927734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.23000000417232513,-13.0,3.0,47.0,5.0,340.0,-37.0,0.0,391.6000061035156,0.0,453.1871643066406,0.0,0.0,398.4217529296875,1.0,0.0,,,,,
70,epah,23500.0,0.9958356618881226,102390.0,97.99525451660156,274.84112548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.7411999702453613,0.029999999329447746,-2.0,0.0,76.0,5.0,0.0,0.0,0.0,239.0,0.0,304.17193603515625,0.0,0.0,39.28825759887695,1.0,0.0,,,,,
71,anwq,16600.0,5.370528221130371,101370.0,91.77650451660156,280.7767333984375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30000001192092896,-17.0,33.0,27.0,13.0,0.0,0.0,0.0,337.29998779296875,0.0,352.31195068359375,0.0,0.0,963.769775390625,1.0,0.0,,,,,
72,idwa,16200.0,4.878325462341309,100010.0,128.96400451660156,298.57177734375,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6632000207901001,0.1899999976158142,-13.0,1.0,42.0,4.0,350.0,-35.0,0.0,391.70001220703125,0.0,450.4371643066406,0.0,0.0,400.9217529296875,1.0,0.0,,,,,
73,fvuk,20500.0,1.9333356618881226,102080.0,121.99525451660156,274.09112548828125,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.7324000000953674,0.029999999329447746,-3.0,0.0,71.0,5.0,0.0,0.0,0.0,239.5,0.0,300.79693603515625,0.0,0.0,37.53825759887695,1.0,0.0,,,,,
